Subregion,Location type,Capacity (m3/d),Unit size (m3/d),Technology,Membrane type (RO),Feedwater,Customer type,Industry,Customer,Plant type,Plant supplier,Plant supplier share,Procurement model,EPC price,Product water salinity,EPC contractor (desal),Equipment supplier : Membranes (Not specified / Other),Holding Company,RO System,RO Feed Pump Drive,RO Membrane Type,RO Pre Treament 1st Stage,Pretreatment
Middle East / North Africa,Land based,1200,1200,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,SNTE FR,100,EPC,"3,100,000 USD",,SNTE FR,Hydranautics,SNTE FR,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,480,480,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Krupp Uhde,100,EPC,"500,000 USD",,Krupp Uhde,Koch Membrane Systems,ThyssenKrupp,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,3500,1750,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Veolia Water Solutions & Technologies - Australia,100,EPC,"3,460,000 USD",,Veolia Water Solutions & Technologies - Australia,,Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,2270,454,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),General,Construction ,Stand-alone,Preussag Wassertechnik(PWT),100,EPC,"2,350,000 USD",,Preussag Wassertechnik(PWT),,Amiantit Group,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,760,760,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Food & Beverage,Ahmadi Industries,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"770,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",,Veolia,Single Pass,Electric Motor,,,  
North America,Land based,136,136,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,University,Stand-alone,Siemens Water Technologies  ,100,EPC,"140,000 USD",,Siemens Water Technologies  ,DuPont (now Dupont Water Solutions),"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,4000,2000,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Power,Egyptian Electricity Holding Company,Stand-alone,Degremont ,100,EPC,"5,000,000 USD",,Degremont (now Suez),DuPont (now DowDuPont),Suez ,,,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,1000,500,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Membrane SRL,100,EPC,"1,030,000 USD",,Membrane SRL,Koch Membrane Systems,Membrane SRL,,,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,500,500,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Culligan International Company,100,EPC,"1,330,000 USD",,Culligan International Company,,Culligan International Company,,,,,  
Middle East / North Africa,Land based,500,500,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Culligan International Company,100,EPC,"520,000 USD",,Culligan International Company,"Ionics, Inc. ",Culligan International Company,,,Hollow Fibre Membrane,,  
